46038,US Bill 1 Year,US1Y,rate,3.42,0
46038,US Note 2 Year,US2Y,yield,3.5966,0
46038,US Note 3 Year,US3Y,yield,3.6642,0
46038,US Note 5 Year,US5Y,yield,3.8227,0
46038,US Note 7 Year,US7Y,yield,4.0177,0
46038,US Note 10 Year,US10Y,yield,4.2264,0
46038,US Note 20 Year,US20Y,yield,4.7905,0
46038,US Note 30 Year,US30Y,yield,4.836,0
46038,ICE BofA Global Corporate,IG,spread,76,0
46038,High Quality,AA,spread,46,0
46038,Low Investment Grade,BBB,spread,96,0
46038,ICE BofA US High Yield,HY,spread,265,0
46038,Speculative,BB,spread,158,0
46038,Distressed,CCC,spread,852,0
46038,ZQ Future 1,Jan ZQ26,future,96.36,1
46038,ZQ Future 2,Feb ZQ26,future,96.37,2
46038,ZQ Future 3,Mar ZQ26,future,96.39,3
46038,ZQ Future 4,Apr ZQ26,future,96.415,4
46038,ZQ Future 5,May ZQ26,future,96.455,5
46038,ZQ Future 6,Jun ZQ26,future,96.5,6
46038,ZQ Future 7,Jul ZQ26,future,96.56,7
46038,ZQ Future 8,Aug ZQ26,future,96.62,8
46038,ZQ Future 9,Sep ZQ26,future,96.665,9
46038,ZQ Future 10,Oct ZQ26,future,96.72,10
46038,ZQ Future 11,Nov ZQ26,future,96.76,11
46038,ZQ Future 12,Dec ZQ26,future,96.795,12
46038,DE 10 Year Bund,DE10Y,yield,2.834,0
46038,UK 10 Year Gilt,UK10Y,yield,4.385,0
46045,US Bill 1 Month,US1M,rate,3.6755,0
46045,US Bill 2 Month,US2M,rate,3.6808,0
46045,US Bill 3 Month,US3M,rate,3.6666,0
46045,US Bill 4 Month,US4M,rate,3.6628,0
46045,US Bill 6 Month,US6M,rate,3.6321,0
46045,US Bill 1 Year,US1Y,rate,3.39,0
46045,US Note 2 Year,US2Y,yield,3.5961,0
46045,US Note 3 Year,US3Y,yield,3.6663,0
46045,US Note 5 Year,US5Y,yield,3.8307,0
46045,US Note 7 Year,US7Y,yield,4.0265,0
